Story;hi;At;It;Mp
0;8;514.8;10698.055;9800.05
1;4.2;514.8;10698.055;9800.05
2;4.2;514.8;10698.055;6841.237
3;4.2;514.8;10698.055;6841.237
4;4.2;514.8;10698.055;6841.237
5;4.2;514.8;10698.055;6841.237
6;4.2;514.8;10698.055;6841.237
7;4.2;514.8;10698.055;6841.237
8;4.2;514.8;10698.055;6841.237
9;4.2;514.8;10698.055;6841.237
10;4.2;514.8;10698.055;6841.237
11;4.2;514.8;10698.055;6841.237
12;4.2;514.8;10698.055;6841.237
13;4.2;514.8;10698.055;6841.237
14;4.2;514.8;10698.055;6841.237
15;4.2;514.8;10698.055;6841.237
16;4.2;514.8;10698.055;6841.237
17;4.2;514.8;10698.055;6841.237
18;4.2;514.8;10698.055;6841.237
19;4.2;514.8;10698.055;6841.237
20;4.2;514.8;10698.055;6841.237
21;4.2;514.8;10698.055;6841.237
22;4.2;514.8;10698.055;6841.237
23;4.2;514.8;10698.055;6841.237
24;4.2;514.8;10698.055;6841.237
25;4.2;514.8;10698.055;6841.237
26;4.2;514.8;10698.055;6841.237
27;4.2;514.8;10698.055;6841.237
28;4.2;514.8;10698.055;6841.237
29;4.2;507.96;10579.401;6797.785
30;4.2;507.96;10579.401;6754.334
31;4.2;507.96;10579.401;6754.334
32;4.2;507.96;10579.401;6754.334
33;4.2;507.96;10579.401;6754.334
34;4.2;507.96;10579.401;6754.334
35;4.2;507.96;10579.401;6754.334
36;4.2;507.96;10579.401;6754.334
37;4.2;507.96;10579.401;6754.334
38;4.2;507.96;10579.401;6754.334
39;3.6;507.96;10579.401;6293.361
40;3.6;507.96;10579.401;5832.387
41;3.6;507.96;10579.401;5832.387
42;3.6;507.96;10579.401;5832.387
43;3.6;507.96;10579.401;5832.387
44;3.6;507.96;10579.401;5832.387
45;3.6;507.96;10579.401;5832.387
46;3.6;507.96;10579.401;5832.387
47;3.6;507.96;10579.401;5832.387
48;3.6;507.96;10579.401;5832.387
49;3.6;507.96;10579.401;5832.387
50;3.6;507.96;10579.401;5832.387
51;3.6;507.96;10579.401;5832.387
52;3.6;507.96;10579.401;5832.387
53;3.6;507.96;10579.401;5832.387
54;3.6;507.96;10579.401;5832.387
55;3.6;507.96;10579.401;5832.387
56;3.6;507.96;10579.401;5832.387
57;3.6;507.96;10579.401;5832.387
58;3.6;507.96;10579.401;5832.387
59;3.6;507.96;10579.401;5832.387
60;3.6;507.96;10579.401;5832.387
61;3.6;507.96;10579.401;5832.387
62;3.6;507.96;10579.401;5832.387
63;3.6;507.96;10579.401;5832.387
64;3.6;507.96;10579.401;5832.387
65;3.6;507.96;10579.401;5832.387
66;3.6;507.96;10579.401;5832.387
67;3.6;507.96;10579.401;5832.387
68;3.6;507.96;10579.401;5832.387
69;3.6;507.96;10579.401;5832.387
70;3.6;507.96;10579.401;5832.387
71;3.6;507.96;10579.401;5832.387
72;3.6;507.96;10579.401;5832.387
73;3.6;507.96;10579.401;5832.387
74;3.6;507.96;10579.401;5832.387
75;3.6;507.96;10579.401;5832.387
76;3.6;507.96;10579.401;5832.387
77;3.6;507.96;10579.401;5832.387
78;3.6;507.96;10579.401;5832.387
79;3.6;507.96;10579.401;5832.387
80;3.6;507.96;10579.401;5832.387
81;3.6;507.96;10579.401;5832.387
82;3.6;507.96;10579.401;5832.387
83;3.6;498.84;10421.139;5832.387
84;3.6;498.84;10421.139;5782.729
85;3.6;498.84;10421.139;5733.07
86;3.6;498.84;10421.139;5733.07
87;3.6;498.84;10421.139;5733.07
88;3.6;498.84;10421.139;5733.07
89;3.6;498.84;10421.139;5733.07
90;3.6;498.84;10421.139;5733.07
91;3.6;498.84;10421.139;5733.07
92;3.6;498.84;10421.139;5733.07
93;3.6;498.84;10421.139;5733.07
94;3.6;498.84;10421.139;5733.07
95;3.6;498.84;10421.139;5733.07
96;3.6;498.84;10421.139;5733.07
97;3.6;498.84;10421.139;5733.07
98;3.6;498.84;10421.139;5733.07
99;3.6;498.84;10421.139;5733.07
100;3.6;498.84;10421.139;5733.07
101;3.6;498.84;10421.139;5733.07
102;3.6;498.84;10421.139;5733.07
103;3.6;498.84;10421.139;5733.07
104;3.6;498.84;10421.139;5733.07
105;3.6;498.84;10421.139;5733.07
106;3.6;498.84;10421.139;5733.07
